strategy,threshold,precision,recall,f1,f1_macro
f1,0.3874064908830538,0.7098445595854922,0.5956521739130435,0.6477541371158393,0.7928999375807887
fbeta,0.095,0.4066390041493776,0.8521739130434782,0.550561797752809,0.6996665321467259
f1_macro,0.49500000000000005,0.7770700636942676,0.5304347826086957,0.6304909560723514,0.7859542039681708
youden,0.15053047109031742,0.4732620320855615,0.7695652173913043,0.5860927152317881,0.736841321644671
target_precision,0.38093247220339943,0.711340206185567,0.6,0.6509433962264151,0.7946896681631244
